class	group	term	genes	all	padj
UP	AD4_stress	RNA biosynthesis.transcriptional regulation.WRKY transcription factor activity.transcription factor (WRKY)	35	118	4.311028243163021e-9
UP	AD4_stress	S-locus glycoprotein domain	27	75	7.562516516906742e-9
UP	AD4_stress	S-receptor-like serine/threonine-protein kinase	33	77	9.118477702380875e-13
UP	AD4_stress	Serine-threonine/tyrosine-protein kinase, catalytic domain	96	523	1.6140784881109126e-11
UP	AD4_stress	signaling receptor activity	27	117	1.3088220697596883e-4
UP	AD4_stress	Solute transport.carrier-mediated transport.MFS superfamily.SP family.polyol/monosaccharide transporter (PLT)	6	10	0.007843296319147973
UP	AD4_stress	Solute transport.channels.ligand-gated cation channel (GLR)	9	24	0.009646785041452137
UP	AD4_stress	START-like domain superfamily	24	128	0.010385963845661908
UP	AD4_stress	systemic acquired resistance	22	111	0.009242729725768537
UP	AD4_stress	tetrapyrrole binding	68	500	0.001713327519215849
UP	AD4_stress	U box domain	25	90	9.470296676984058e-6
UP	AD4_stress	VQ	17	44	8.485811636103999e-6
UP	AD4_stress	Wall-associated receptor kinase, C-terminal	12	29	2.7601374528672657e-4
UP	AD4_stress	Wall-associated receptor kinase, galacturonan-binding domain	35	107	3.7749063779651266e-10
UP	AD4_stress	WRKY domain	35	118	4.311028243163021e-9
UP	AD4_stress	WRKY transcription factor, plant	35	117	4.006875865096446e-9
UP	AD4_stress	Zinc finger, RING/FYVE/PHD-type	96	844	0.023899934492605707
DOWN	AD4_stress	5'-3' RNA polymerase activity	24	122	4.502988400192025e-4
DOWN	AD4_stress	anchored component of membrane	38	190	7.179861053032268e-7
DOWN	AD4_stress	apoplast	46	367	0.00611734566595302
DOWN	AD4_stress	ATP biosynthetic process	23	85	2.8689362172118994e-6
DOWN	AD4_stress	ATP metabolic process	33	202	4.960338872019648e-4
DOWN	AD4_stress	ATP synthase, F0 complex, subunit C, bacterial/chloroplast	4	6	0.03500985466358249
DOWN	AD4_stress	ATP synthesis coupled proton transport	23	85	2.8689362172118994e-6
DOWN	AD4_stress	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain	19	89	0.0011735036280311362
DOWN	AD4_stress	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	19	95	0.0029358089218911904
DOWN	AD4_stress	cation transmembrane transport	39	318	0.029818681513133088
DOWN	AD4_stress	cell wall	71	606	8.692594667539847e-4
DOWN	AD4_stress	Cell wall organisation.cell wall proteins.hydroxyproline-rich glycoprotein activities.arabinogalactan-protein activities.Fasciclin-type arabinogalactan protein (FLA)	10	22	1.6830775973666418e-4
DOWN	AD4_stress	Cell wall organisation.cellulose.cellulose synthase complex (CSC).CSC components.cellulose synthase (CesA)	8	16	7.408470050232139e-4
DOWN	AD4_stress	cellular respiration	24	153	0.014287175390784371
DOWN	AD4_stress	Cellulose synthase	10	41	0.0377161086676366
DOWN	AD4_stress	Cellulose synthase, RING-type zinc finger	8	16	7.408470050232139e-4
DOWN	AD4_stress	chlorophyll binding	12	30	7.508411296377066e-5
DOWN	AD4_stress	chloroplast envelope	130	757	1.057953742289704e-19
DOWN	AD4_stress	chloroplast nucleoid	14	51	9.518095339418125e-4
DOWN	AD4_stress	chloroplast organization	31	227	0.020702446284589233
DOWN	AD4_stress	chloroplast stroma	174	863	1.3092756217871632e-35
DOWN	AD4_stress	chloroplast stromal thylakoid	6	14	0.023611866319449438
DOWN	AD4_stress	chloroplast thylakoid	115	531	1.0133963008992359e-25
DOWN	AD4_stress	chloroplast thylakoid lumen	6	14	0.023611866319449438
DOWN	AD4_stress	chloroplast thylakoid membrane	90	421	1.3921233818733771e-19
DOWN	AD4_stress	Citrate carrier CitT-related	4	6	0.03500985466358249
DOWN	AD4_stress	Cytochrome b/b6, C-terminal domain superfamily	4	6	0.03500985466358249
DOWN	AD4_stress	cytosolic ribosome	44	373	0.029818681513133088
DOWN	AD4_stress	DNA-directed 5'-3' RNA polymerase activity	24	115	1.6991443907027969e-4
DOWN	AD4_stress	DNA-directed RNA polymerase, subunit 2	8	22	0.00887461802096928
DOWN	AD4_stress	electron transfer activity	53	172	2.6038449241069244e-18
DOWN	AD4_stress	electron transport chain	49	197	6.746544520238514e-13
DOWN	AD4_stress	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	14	24	2.4765855737365327e-8
DOWN	AD4_stress	external encapsulating structure	77	639	1.6830775973666418e-4
DOWN	AD4_stress	F/V-ATP synthase subunit C superfamily	8	18	0.0018491136018437687
DOWN	AD4_stress	FAS1 domain	10	25	5.724817621580179e-4
DOWN	AD4_stress	FAS1 domain superfamily	10	26	8.149532698392644e-4
DOWN	AD4_stress	Fasciclin-like arabinogalactan protein 15/16/17/18	3	3	0.0377161086676366
DOWN	AD4_stress	Ferredoxin [2Fe-2S], plant	6	8	5.561555665361642e-4
DOWN	AD4_stress	generation of precursor metabolites and energy	95	519	3.9740388441513724e-16
DOWN	AD4_stress	Glucose-methanol-choline oxidoreductase, C-terminal	6	13	0.01554459377506161
DOWN	AD4_stress	Glucose-methanol-choline oxidoreductase, N-terminal	6	13	0.01554459377506161
DOWN	AD4_stress	Glycoside hydrolase family 9	7	21	0.038196074039409875
DOWN	AD4_stress	inorganic cation transmembrane transport	39	314	0.023611866319449438
DOWN	AD4_stress	inorganic ion transmembrane transport	43	339	0.008062216218615527
DOWN	AD4_stress	ion transmembrane transport	56	444	9.791784048231815e-4
DOWN	AD4_stress	large ribosomal subunit	44	243	9.74500806780227e-7
DOWN	AD4_stress	membrane protein complex	85	654	2.446551625536897e-6
DOWN	AD4_stress	mitochondrial ATP synthesis coupled proton transport	4	4	0.003615694460359209
DOWN	AD4_stress	mitochondrial large ribosomal subunit	8	12	5.6548255061178065e-5
DOWN	AD4_stress	mitochondrial matrix	13	51	0.004097433182665575
DOWN	AD4_stress	mitochondrial protein-containing complex	29	209	0.023611866319449438
DOWN	AD4_stress	mitochondrial ribosome	11	17	6.274677885233744e-7
DOWN	AD4_stress	mitochondrial small ribosomal subunit	4	5	0.01472987318839491
DOWN	AD4_stress	NAD(P)H dehydrogenase (quinone) activity	13	45	0.0010758058357396095
DOWN	AD4_stress	NADH dehydrogenase (quinone) activity	13	35	6.81284007722227e-5
DOWN	AD4_stress	NADH dehydrogenase activity	15	50	1.6991443907027969e-4
DOWN	AD4_stress	nucleoid	15	59	0.0011735036280311362
DOWN	AD4_stress	nucleoside binding	8	22	0.00887461802096928
DOWN	AD4_stress	nucleoside triphosphate biosynthetic process	24	102	1.9844978198257308e-5
DOWN	AD4_stress	nucleoside triphosphate metabolic process	24	109	6.81284007722227e-5
DOWN	AD4_stress	Nucleotide-diphospho-sugar transferases	33	204	5.927174873403209e-4
DOWN	AD4_stress	organellar large ribosomal subunit	18	34	4.422425647178636e-10
DOWN	AD4_stress	organellar ribosome	30	61	1.9284809428753255e-16
DOWN	AD4_stress	organellar small ribosomal subunit	20	35	3.4043493355439563e-12
DOWN	AD4_stress	oxidoreductase activity, acting on NAD(P)H	23	119	8.59546498470628e-4
DOWN	AD4_stress	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	14	53	0.0014312634174928152
DOWN	AD4_stress	oxidoreduction-driven active transmembrane transporter activity	17	47	2.3569462017318526e-6
DOWN	AD4_stress	photosynthesis	80	364	4.455871676340197e-18
DOWN	AD4_stress	photosynthesis, light harvesting	14	55	0.0021804232636830744
DOWN	AD4_stress	photosynthesis, light reaction	60	226	1.6433878610387527e-17
DOWN	AD4_stress	Photosynthesis.photophosphorylation.ATP synthase complex.membrane CF0 subcomplex.subunit b	4	6	0.03500985466358249
DOWN	AD4_stress	Photosynthesis.photophosphorylation.linear electron flow.ferredoxin electron carrier activities.NADP-reduction-targeted ferredoxin (Fd)	5	7	0.004275594559928995
DOWN	AD4_stress	photosynthetic electron transport chain	35	122	8.31268115460331e-11
DOWN	AD4_stress	photosynthetic electron transport in photosystem II	11	24	4.9498686701256994e-5
DOWN	AD4_stress	photosynthetic membrane	111	500	1.0133963008992359e-25
DOWN	AD4_stress	Photosynthetic reaction centre, L/M	8	14	2.26392797739001e-4
DOWN	AD4_stress	photosystem	29	115	2.471259657262532e-7
DOWN	AD4_stress	Photosystem antenna protein-like	7	15	0.004140560032736496
DOWN	AD4_stress	Photosystem antenna protein-like superfamily	7	15	0.004140560032736496
DOWN	AD4_stress	photosystem II	16	68	0.0016424657740186667
DOWN	AD4_stress	Photosystem II protein D1/D2 superfamily	8	14	2.26392797739001e-4
DOWN	AD4_stress	photosystem II repair	6	14	0.023611866319449438
DOWN	AD4_stress	plant-type cell wall	28	195	0.018170019788010354
DOWN	AD4_stress	plastid large ribosomal subunit	10	22	1.6830775973666418e-4
DOWN	AD4_stress	plastid membrane	106	581	6.370163365998819e-18
DOWN	AD4_stress	plastid nucleoid	15	58	9.749230366149645e-4
DOWN	AD4_stress	plastid organization	46	316	1.8782938003259036e-4
DOWN	AD4_stress	plastid ribosome	26	53	4.749825182353674e-14
DOWN	AD4_stress	plastid small ribosomal subunit	16	30	6.846226513563101e-9
DOWN	AD4_stress	plastid thylakoid	115	536	1.8226164837146765e-25
DOWN	AD4_stress	plastid thylakoid membrane	91	429	1.3921233818733771e-19
DOWN	AD4_stress	plastoglobule	21	96	3.363842391116881e-4
DOWN	AD4_stress	protein domain specific binding	20	97	0.0011735036280311362
DOWN	AD4_stress	Protein TIC214	10	16	4.5938235962928375e-6
DOWN	AD4_stress	proton channel activity	14	40	5.6811139140440254e-5
DOWN	AD4_stress	proton transmembrane transport	33	170	1.3295991534314094e-5
DOWN	AD4_stress	proton transmembrane transporter activity	36	228	4.1097179492846967e-4
DOWN	AD4_stress	proton-transporting ATP synthase activity, rotational mechanism	13	38	1.7308268887632e-4
DOWN	AD4_stress	proton-transporting ATP synthase complex	20	80	7.518448168846348e-5
DOWN	AD4_stress	proton-transporting ATP synthase complex, coupling factor F(o)	12	44	0.004056052277539163
DOWN	AD4_stress	proton-transporting two-sector ATPase complex	27	121	1.1545115686750803e-5
DOWN	AD4_stress	proton-transporting two-sector ATPase complex, proton-transporting domain	18	69	1.473289323265535e-4
DOWN	AD4_stress	purine nucleoside triphosphate biosynthetic process	24	93	3.5662658734190546e-6
DOWN	AD4_stress	purine nucleotide biosynthetic process	27	162	0.002100420373059037
DOWN	AD4_stress	purine nucleotide metabolic process	37	264	0.00345998340970525
DOWN	AD4_stress	purine ribonucleoside triphosphate biosynthetic process	24	93	3.5662658734190546e-6
DOWN	AD4_stress	purine ribonucleotide biosynthetic process	27	153	8.211703337630184e-4
DOWN	AD4_stress	purine ribonucleotide metabolic process	35	248	0.004542458459947654
DOWN	AD4_stress	purine-containing compound biosynthetic process	27	171	0.005022924215993452
DOWN	AD4_stress	purine-containing compound metabolic process	37	290	0.02082674080245285
DOWN	AD4_stress	ribonucleoprotein complex	81	546	1.2398205925086173e-8
DOWN	AD4_stress	ribonucleoside triphosphate biosynthetic process	24	100	1.4479165694606266e-5
DOWN	AD4_stress	ribonucleotide biosynthetic process	27	168	0.003909031665818953
DOWN	AD4_stress	ribonucleotide metabolic process	35	264	0.015208179037623943
DOWN	AD4_stress	Ribosomal protein L10e/L16	5	10	0.034211418093998754
DOWN	AD4_stress	Ribosomal protein L10e/L16 superfamily	5	10	0.034211418093998754
DOWN	AD4_stress	Ribosomal protein L14 superfamily	6	14	0.023611866319449438
DOWN	AD4_stress	Ribosomal protein L14P	6	14	0.023611866319449438
DOWN	AD4_stress	Ribosomal protein L16	4	5	0.01472987318839491
DOWN	AD4_stress	Ribosomal protein L34	3	3	0.0377161086676366
DOWN	AD4_stress	Ribosomal protein S12/S23	9	13	6.762898406576287e-6
DOWN	AD4_stress	Ribosomal protein S5/S7	9	14	1.5368460481941212e-5
DOWN	AD4_stress	Ribosomal protein S7 domain	9	14	1.5368460481941212e-5
DOWN	AD4_stress	Ribosomal protein S7 domain superfamily	9	14	1.5368460481941212e-5
DOWN	AD4_stress	ribosomal subunit	75	400	5.112863581232215e-13
DOWN	AD4_stress	rRNA binding	16	57	1.8782938003259036e-4
DOWN	AD4_stress	small ribosomal subunit	39	167	3.996496430456549e-9
DOWN	AD4_stress	stromule	12	56	0.03692984087604764
DOWN	AD4_stress	structural constituent of ribosome	116	673	9.19695836940701e-18
DOWN	AD4_stress	structural molecule activity	127	779	1.5690220109881778e-17
DOWN	AD4_stress	thylakoid lumen	16	64	8.189074787256722e-4
DOWN	AD4_stress	thylakoid membrane	100	465	5.293533458110703e-22
DOWN	AD4_stress	Trichome birefringence-like family	13	65	0.0412091675444026
DOWN	AD4_stress	UDP-glycosyltransferase activity	43	369	0.041108943498869635
DOWN	AD4_stress	V-ATPase proteolipid subunit C-like domain	8	16	7.408470050232139e-4
ELD_P2	AD4_stress	Alcohol dehydrogenase, N-terminal	19	59	0.00809105691056166
ELD_P2	AD4_stress	amine metabolic process	33	135	0.0058131199525840215
ELD_P2	AD4_stress	AP2/ERF domain superfamily	61	220	3.289057047429973e-8
ELD_P2	AD4_stress	Calcium-binding protein KIC/PBP1/KRP1	7	11	0.028554188217705792
ELD_P2	AD4_stress	cellular response to ethylene stimulus	39	181	0.016628710230729624
ELD_P2	AD4_stress	DNA-binding domain superfamily	62	237	1.6554008905290593e-7
ELD_P2	AD4_stress	ethylene-activated signaling pathway	36	165	0.024445982843848715
ELD_P2	AD4_stress	Ethylene-responsive transcription factor	20	58	0.0017456329685780374
ELD_P2	AD4_stress	GroES-like superfamily	22	73	0.0058131199525840215
ELD_P2	AD4_stress	heme binding	79	467	0.02628120756400243
ELD_P2	AD4_stress	phenylalanine ammonia-lyase activity	5	6	0.04913119359543249
ELD_P2	AD4_stress	phenylpropanoid metabolic process	39	191	0.04170928106210082
ELD_P2	AD4_stress	Polyketide synthase, enoylreductase domain	15	44	0.02628120756400243
ELD_P2	AD4_stress	Protein of unknown function DUF247, plant	19	45	1.868643236551058e-4
ELD_P2	AD4_stress	response to chitin	46	160	1.461655760609951e-6
ELD_P2	AD4_stress	response to fungus	87	532	0.03375136931736189
ELD_P2	AD4_stress	response to nitrogen compound	65	319	6.113720958171072e-4
ELD_P2	AD4_stress	response to organonitrogen compound	55	249	3.7033384800628355e-4
ELD_P2	AD4_stress	response to wounding	67	299	1.6647700127043917e-5
ELD_P2	AD4_stress	RNA biosynthesis.transcriptional regulation.AP2/ERF  transcription factor superfamily.transcription factor (DREB)	20	71	0.029308217091120605
ELD_P2	AD4_stress	RNA biosynthesis.transcriptional regulation.AP2/ERF  transcription factor superfamily.transcription factor (ERF)	32	111	3.368398031616307e-4
ELD_P2	AD4_stress	RNA biosynthesis.transcriptional regulation.WRKY transcription factor activity.transcription factor (WRKY)	32	118	8.462505824247066e-4
ELD_P2	AD4_stress	secondary metabolic process	64	349	0.014706664714781669
ELD_P2	AD4_stress	TIFY/JAZ family	9	19	0.04170928106210082
ELD_P2	AD4_stress	WRKY domain	32	118	8.462505824247066e-4
ELD_P2	AD4_stress	WRKY transcription factor, plant	32	117	8.397727361580208e-4
